datetime,Flow,Avg kph
2024-01-02 11:30,95,14
2024-01-02 11:40,91,14
2024-01-02 11:50,87,15
2024-01-02 12:00,84,16
2024-01-02 12:10,80,17
2024-01-02 12:20,76,18
2024-01-02 12:30,72,19
2024-01-02 12:40,69,20
2024-01-02 12:50,65,21
2024-01-02 13:00,61,21
2024-01-02 13:10,57,22
2024-01-02 13:20,54,23
2024-01-02 13:30,50,24
2024-01-02 13:40,46,25
2024-01-02 13:50,80,20
2024-01-02 14:00,73,24
2024-01-02 14:10,66,28
2024-01-02 14:20,60,32
2024-01-02 14:30,53,36
2024-01-02 14:40,46,40
2024-01-02 14:50,39,44
2024-01-02 15:00,32,48
2024-01-02 15:10,67,34
2024-01-02 15:20,64,35
2024-01-02 15:30,61,35
2024-01-02 15:40,58,36
2024-01-02 15:50,56,37
2024-01-02 16:00,53,38
2024-01-02 16:10,50,39
2024-01-02 16:20,55,36
2024-01-02 16:30,59,33
2024-01-02 16:40,64,30
2024-01-02 16:50,129,26
2024-01-02 17:00,194,21
2024-01-02 17:10,259,17
2024-01-02 17:20,219,18
2024-01-02 17:30,178,18
2024-01-02 17:40,138,19
2024-01-02 17:50,139,18
2024-01-02 18:00,141,17
2024-01-02 18:10,142,16
2024-01-02 18:20,144,14
2024-01-02 18:30,145,13
2024-01-02 18:40,146,12
2024-01-02 18:50,148,11
2024-01-02 19:00,149,10
2024-01-02 19:10,132,10
2024-01-02 19:20,116,11
2024-01-02 19:30,99,11
2024-01-02 19:40,129,11
2024-01-02 19:50,159,10
2024-01-02 20:00,139,17
2024-01-02 20:10,118,23
2024-01-02 20:20,98,30
2024-01-02 20:30,77,36
2024-01-02 20:40,57,43
2024-01-02 20:50,36,50
2024-01-02 21:00,16,56
2024-01-02 21:10,18,61
2024-01-02 21:20,20,65
2024-01-02 21:30,22,70
2024-01-02 21:40,20,61
2024-01-02 21:50,18,52
2024-01-02 22:00,17,71
2024-01-02 22:10,18,63
2024-01-02 22:20,19,61
2024-01-02 22:30,20,59
2024-01-02 22:40,22,57
2024-01-02 22:50,24,55
2024-01-02 23:00,14,56
2024-01-02 23:10,14,56
2024-01-02 23:20,15,56
2024-01-02 23:30,20,52
2024-01-02 23:40,26,48
2024-01-02 23:50,15,72
2024-01-03 00:00,18,69
2024-01-03 00:10,22,65
2024-01-03 00:20,21,64
2024-01-03 00:30,20,62
2024-01-03 00:40,19,61
2024-01-03 00:50,18,60
2024-01-03 01:00,19,59
2024-01-03 01:10,20,59
2024-01-03 01:20,20,59
2024-01-03 01:30,21,59
2024-01-03 01:40,22,59
2024-01-03 01:50,23,58
2024-01-03 02:00,23,58
2024-01-03 02:10,24,58
2024-01-03 02:20,25,58
2024-01-03 02:30,21,51
2024-01-03 02:40,18,44
2024-01-03 02:50,14,37
2024-01-03 03:00,15,40
2024-01-03 03:10,16,42
2024-01-03 03:20,16,45
2024-01-03 03:30,17,48
2024-01-03 03:40,18,50
2024-01-03 03:50,18,53
2024-01-03 04:00,19,56
2024-01-03 04:10,20,58
2024-01-03 04:20,20,60
2024-01-03 04:30,20,61
2024-01-03 04:40,19,62
2024-01-03 04:50,19,63
2024-01-03 05:00,19,64
2024-01-03 05:10,8,58
2024-01-03 05:20,17,61
2024-01-03 05:30,14,70
2024-01-03 05:40,15,56
2024-01-03 05:50,15,55
2024-01-03 06:00,16,55
2024-01-03 06:10,16,54
2024-01-03 06:20,17,53
2024-01-03 06:30,17,52
2024-01-03 06:40,18,51
2024-01-03 06:50,18,50
2024-01-03 07:00,26,46
2024-01-03 07:10,34,41
2024-01-03 07:20,42,37
2024-01-03 07:30,50,33
2024-01-03 07:40,59,28
2024-01-03 07:50,67,24
2024-01-03 08:00,75,19
2024-01-03 08:10,83,15
2024-01-03 08:20,91,11
2024-01-03 08:30,121,15
2024-01-03 08:40,150,19
2024-01-03 08:50,180,23
2024-01-03 09:00,107,26
2024-01-03 09:10,122,23
2024-01-03 09:20,138,20
2024-01-03 09:30,153,18
2024-01-03 09:40,168,15
2024-01-03 09:50,184,12
2024-01-03 10:00,149,16
2024-01-03 10:10,114,21
2024-01-03 10:20,79,25
2024-01-03 10:30,44,29
2024-01-03 10:40,55,31
2024-01-03 10:50,65,33
2024-01-03 11:00,76,35
2024-01-03 11:10,65,18
2024-01-03 11:20,100,13
2024-01-03 11:30,100,14
2024-01-03 11:40,101,14
2024-01-03 11:50,101,14
2024-01-03 12:00,102,15
2024-01-03 12:10,102,15
2024-01-03 12:20,103,15
2024-01-03 12:30,103,16
2024-01-03 12:40,104,16
2024-01-03 12:50,104,16
2024-01-03 13:00,86,23
2024-01-03 13:10,69,30
2024-01-03 13:20,51,37
2024-01-03 13:30,72,24
2024-01-03 13:40,94,10
2024-01-03 13:50,58,40
2024-01-03 14:00,61,37
2024-01-03 14:10,65,33
2024-01-03 14:20,69,30
2024-01-03 14:30,73,27
2024-01-03 14:40,77,23
2024-01-03 14:50,67,27
2024-01-03 15:00,58,32
2024-01-03 15:10,48,36
2024-01-03 15:20,38,40
2024-01-03 15:30,42,37
2024-01-03 15:40,46,35
2024-01-03 15:50,51,32
2024-01-03 16:00,55,30
2024-01-03 16:10,59,27
2024-01-03 16:20,101,12
2024-01-03 16:30,104,13
2024-01-03 16:40,108,14
2024-01-03 16:50,111,14
2024-01-03 17:00,115,15
2024-01-03 17:10,118,16
2024-01-03 17:20,122,17
2024-01-03 17:30,125,18
2024-01-03 17:40,129,19
2024-01-03 17:50,132,19
2024-01-03 18:00,178,16
2024-01-03 18:10,154,10
2024-01-03 18:20,172,10
2024-01-03 18:30,190,10
2024-01-03 18:40,209,10
2024-01-03 18:50,227,10
2024-01-03 19:00,205,10
2024-01-03 19:10,183,10
2024-01-03 19:20,161,10
2024-01-03 19:30,139,10
2024-01-03 19:40,117,10
2024-01-03 19:50,137,18
2024-01-03 20:00,130,21
2024-01-03 20:10,122,24
2024-01-03 20:20,115,27
2024-01-03 20:30,108,29
2024-01-03 20:40,100,32
2024-01-03 20:50,93,35
2024-01-03 21:00,85,38
2024-01-03 21:10,78,41
2024-01-03 21:20,71,44
2024-01-03 21:30,63,46
2024-01-03 21:40,56,49
2024-01-03 21:50,48,52
2024-01-03 22:00,41,55
2024-01-03 22:10,34,58
2024-01-03 22:20,26,61
2024-01-03 22:30,19,64
2024-01-03 22:40,20,62
2024-01-03 22:50,21,60
2024-01-03 23:00,23,59
2024-01-03 23:10,24,57
2024-01-03 23:20,25,56
2024-01-03 23:30,26,54
2024-01-03 23:40,27,53
2024-01-03 23:50,29,51
2024-01-04 00:00,30,50
2024-01-04 00:10,31,48
2024-01-04 00:20,29,50
2024-01-04 00:30,26,52
2024-01-04 00:40,24,54
2024-01-04 00:50,22,56
2024-01-04 01:00,19,58
2024-01-04 01:10,17,60
2024-01-04 01:20,18,64
2024-01-04 01:30,19,68
2024-01-04 01:40,28,52
2024-01-04 01:50,27,53
2024-01-04 02:00,26,53
2024-01-04 02:10,24,54
2024-01-04 02:20,23,55
2024-01-04 02:30,22,55
2024-01-04 02:40,20,56
2024-01-04 02:50,19,56
2024-01-04 03:00,18,57
2024-01-04 03:10,18,57
2024-01-04 03:20,18,57
2024-01-04 03:30,18,57
2024-01-04 03:40,18,57
2024-01-04 03:50,18,57
2024-01-04 04:00,18,57
2024-01-04 04:10,18,57
2024-01-04 04:20,18,57
2024-01-04 04:30,18,57
2024-01-04 04:40,18,57
2024-01-04 04:50,18,57
2024-01-04 05:00,18,58
2024-01-04 05:10,18,58
2024-01-04 05:20,18,58
2024-01-04 05:30,18,58
2024-01-04 05:40,18,58
2024-01-04 05:50,18,58
2024-01-04 06:00,19,51
2024-01-04 06:10,23,48
2024-01-04 06:20,18,54
2024-01-04 06:30,12,61
2024-01-04 06:40,15,52
2024-01-04 06:50,36,49
2024-01-04 07:00,57,45
2024-01-04 07:10,78,41
2024-01-04 07:20,99,37
2024-01-04 07:30,119,34
2024-01-04 07:40,140,30
2024-01-04 07:50,161,26
2024-01-04 08:00,182,23
2024-01-04 08:10,203,19
2024-01-04 08:20,188,18
2024-01-04 08:30,174,18
2024-01-04 08:40,159,17
2024-01-04 08:50,145,17
2024-01-04 09:00,130,16
2024-01-04 09:10,136,17
2024-01-04 09:20,142,18
2024-01-04 09:30,147,19
2024-01-04 09:40,153,19
2024-01-04 09:50,108,30
2024-01-04 10:00,64,40
2024-01-04 10:10,55,45
2024-01-04 10:20,46,49
2024-01-04 10:30,37,53
2024-01-04 10:40,41,50
2024-01-04 10:50,45,48
2024-01-04 11:00,48,45
2024-01-04 11:10,52,43
2024-01-04 11:20,56,40
2024-01-04 11:30,60,37
2024-01-04 11:40,63,35
2024-01-04 11:50,67,32
2024-01-04 12:00,71,30
2024-01-04 12:10,64,26
2024-01-04 12:20,62,28
2024-01-04 12:30,61,30
2024-01-04 12:40,59,31
2024-01-04 12:50,58,33
2024-01-04 13:00,56,35
2024-01-04 13:10,54,37
2024-01-04 13:20,53,39
2024-01-04 13:30,51,41
2024-01-04 13:40,50,43
2024-01-04 13:50,48,45
